,Principal Component Vector Number,class1,class2
0,1,0.0035123927486566844,-0.003512392748656686
1,2,0.0009286972075677291,-0.0009286972075677332
2,3,0.0007003751551085403,-0.0007003751551085403
3,4,0.00011325349845889595,-0.00011325349845889499
4,5,0.010611711477138167,-0.010611711477138167
5,6,0.0009849848217944586,-0.000984984821794457
6,7,0.0005237899705607548,-0.0005237899705607548
7,8,9.979302310072206e-05,-9.979302310072267e-05
8,9,0.003572671477317842,-0.003572671477317843
9,10,2.6091751701468508e-05,-2.6091751701468674e-05
10,11,0.00018219069150741694,-0.00018219069150741634
11,12,0.00019038087218522463,-0.00019038087218522468
12,13,0.00010791244727744356,-0.00010791244727744367
13,14,0.00025293797628425234,-0.0002529379762842524
14,15,0.00028183099799951636,-0.00028183099799951485
15,16,0.0002439878084334404,-0.0002439878084334409
16,17,0.0003976708254012281,-0.00039767082540122765
17,18,0.00023521317376767805,-0.00023521317376767835
18,19,0.0008117687175075438,-0.0008117687175075419
19,20,0.003863620123977644,-0.0038636201239777377
20,21,0.00019072422816232099,-0.00019072422816232104
21,22,0.00038905623674041827,-0.0003890562367404186
22,23,0.0006058338229055486,-0.0006058338229055495
23,24,0.00039723448966452545,-0.0003972344896645255
24,25,0.0004753794368180827,-0.0004753794368180822
25,26,0.00025519251537905715,-0.00025519251537905655
26,27,0.00022193668159098826,-0.0002219366815909884
27,28,0.00023296383557084658,-0.00023296383557084625
28,29,5.642449881845127e-05,-5.642449881845127e-05
29,30,0.0004415254147576762,-0.0004415254147576757
30,31,0.0002561736447036404,-0.0002561736447036399
31,32,0.00011772081033695114,-0.00011772081033695061
32,33,0.00015792611262531345,-0.00015792611262531502
33,34,0.000176593070049245,-0.00017659307004924568
34,35,0.00046453329598505975,-0.0004645332959850598
35,36,0.0068469113661194505,-0.0068469113661194505
36,37,0.0003679342850294176,-0.00036793428502941814
37,38,0.001446438522342947,-0.0014464385223429506
38,39,0.0013791823614289684,-0.0013791823614289537
39,40,0.0024121351340506774,-0.0024121351340506765
40,41,0.002977174718739337,-0.0029771747187393336
41,42,0.0006526684369497442,-0.0006526684369497423
42,43,0.022899785082650524,-0.022899785082650524
43,44,0.0017383465148325943,-0.0017383465148325986
44,45,0.00028969927295054664,-0.0002896992729505468
45,46,7.552149760168537e-05,-7.552149760168547e-05
46,47,0.0003016335124542738,-0.0003016335124542723
47,48,0.0008281863931369702,-0.0008281863931369737
48,49,0.009425539979430035,-0.009425539979430029
49,50,0.004756817749207566,-0.00475681774920757
50,51,0.0002977508151740356,-0.000297750815174034
51,52,0.0005602945604805424,-0.0005602945604805416
52,53,0.0077457540362754805,-0.0077457540362754805
